And Gamma1-57,And Upsilo-50
And Upsilo-50,And 51
And Upsilo-50,Mirach
Mirach,And Delta-31
And Delta-31,Alpheratz
Mirach,And Mu-37
And Mu-37,And Nu-35
And Zeta-34,And Epsilo-30
And Epsilo-30,And Delta-31
And Delta-31,And Theta-24
And Theta-24,And Iota-17
And Iota-17,And Kappa-19
And Kappa-19,And Lambda-16
And Iota-17,And Omicron-1
Ant Iota,Ant Alpha
Ant Alpha,Ant Theta
Ant Theta,Ant Epsilon
Aps Beta,Aps Gamma
Aps Gamma,Aps Delta2
Aps Delta2,Aps Alpha
Aqr 88,Aqr 77
Aqr 77,Aqr Tau1-69
Aqr Tau1-69,Aqr 78
Aqr 78,Aqr Phi-90
Aqr Phi-90,Aqr Zeta2-55
Aqr Zeta2-55,Sadachbia
Sadachbia,Sadalmelik
Sadalmelik,Sadalsud
Sadalsud,Aqr 7
Aqr 7,Aqr Epsilon-2
Sadalmelik,Aqr Theta-43
Aqr Theta-43,Aqr 39
Aql Epsilo-13,Aql Zeta-17
Aql Zeta-17,Tarazed
Tarazed,Altair
Altair,Aql Beta-60
Aql Beta-60,Aql Eta-55
Aql Eta-55,Aql Iota-41
Aql Iota-41,Aql 15
Aql 15,Aql 12
Aql 66,Aql Eta-55
Aql Eta-55,Aql Delta-30
Ara Delta,Ara Gamma
Ara Gamma,Ara Gamma
Ara Gamma,Ara Kappa
Ara Kappa,Ara Epsilon1
Ara Epsilon1,Ara Zeta
Ara Zeta,Ara Eta
Ara Zeta,Ara Gamma
Ari Delta-57,Ari Epsilo-48
Ari Epsilo-48,Ari 41
Ari 41,Hamal
Hamal,Sheratan
Sheratan,Ari Gamma2-5
Aur Delta-33,Menkalinan
Menkalinan,Aur Theta-37
Aur Theta-37,Aur Iota-3
Aur Iota-3,Aur Eta-10
Aur Eta-10,Aur Zeta-8
Aur Zeta-8,Aur Epsilon-7
Aur Epsilon-7,Aur Eta-10
Aur Eta-10,Capella
Capella,Menkalinan
Boo Kappa1-17,Boo Lambda-19
Boo Lambda-19,Boo Gamma-27
Boo Gamma-27,Nekkar
Nekkar,Boo Delta-49
Boo Delta-49,Boo Mu1-51
Boo Delta-49,Pulcherrima
Pulcherrima,Arcturus
Arcturus,Boo Rho-25
Boo Rho-25,Boo Gamma-27
Boo Upsilon-5,Boo Tau-4
Boo Tau-4,Muphrid
Muphrid,Arcturus
Arcturus,Boo Pi2-29
Boo Pi2-29,Boo Zeta-30
Cae Alpha,Cae Beta
Cam 7,Cam Beta-10
Cam Beta-10,Cam Alpha-9
Cam Alpha-9,Cam Gamma
Cam Gamma,Per Gamma-23
Cnc Alpha-65,Cnc Delta-47
Cnc Delta-47,Cnc Gamma-43
Cnc Gamma-43,Cnc Iota-48
Cnc Delta-47,Cnc Beta-17
CVn Alpha1-12,CVn Beta-8
CMa Theta-14,CMa Gamma-23
CMa Gamma-23,CMa Iota-20
CMa Iota-20,Sirius
Sirius,Mirzam
Sirius,CMa Omicr2-24
CMa Omicr2-24,CMa Delta-25
CMa Delta-25,Adara
Adara,Adara
Adara,CMa Zeta-1
CMa Delta-25,CMa 27
CMa 27,CMa Omega-28
CMa 27,CMa Eta-31
Procyon,Gomeisa
Cap 3,Cap Beta-9
Cap Beta-9,Cap Psi-16
Cap Psi-16,Cap Omega-18
Cap Omega-18,Cap 24
Cap 24,Cap Zeta-34
Cap Zeta-34,Cap 37
Cap 37,Deneb Algiedi
Deneb Algiedi,Cap Kappa-43
Cap Kappa-43,Cap 31
Cap 31,Cap Theta-23
Cap Theta-23,Cap Beta-9
Canopus,Canopus
Canopus,Pup Tau
Pup Tau,Car Chi
Car Chi,Car Epsilon
Car Epsilon,Car Iota
Car Iota,Car Theta
Car Theta,Car Theta
Car Theta,Car Theta
Car Theta,Car Omega
Car Omega,Car Beta
Car Beta,Car Upsilon
Cas Epsilo-45,Cas Delta-37
Cas Delta-37,Cas Gamma-27
Cas Gamma-27,Schedar
Schedar,Caph
Cas Gamma-27,Cas Kappa-15
Cas Kappa-15,Cas Iota
Schedar,Cas Zeta-17
Cas Zeta-17,Cas Theta-33
Cen Iota,Cen Nu
Cen Nu,Cen 2
Cen 2,Cen Theta-5
Cen Theta-5,Cen Psi
Cen Psi,Cen Eta
Cen Eta,Cen Psi
Cen Psi,Cen Eta
Cen Eta,Cen Kappa
Cen Theta-5,Cen Mu
Cen Mu,Cen Mu
Cen Mu,Cen Zeta
Cen Zeta,Cen Epsilon
Cen Epsilon,Cen Tau
Cen Tau,Cen Gamma
Cen Gamma,Cen Mu
Cen Tau,Cen Sigma
Cen Sigma,Cen Rho
Cen Rho,Cen Rho
Cen Rho,Cen Pi
Cen Pi,Cen Lambda
Cen Lambda,Cen Lambda
Hadar (Agena),Cen Epsilon
Cen Epsilon,Rigil Kentaurus
Cep Theta-2,Cep Eta-3
Cep Eta-3,Alderamin
Alderamin,Alphirk
Alphirk,Alrai
Alrai,Cep Iota-32
Cep Iota-32,Cep Zeta-21
Cep Zeta-21,Alderamin
Cep Zeta-21,Cep Epsilo-23
Cep Epsilo-23,Cep Delta-27
Cet Gamma-86,Mekab
Mekab,Cet Lambda-91
Cet Lambda-91,Cet Mu-87
Cet Mu-87,Cet Xi2-73
Cet Xi2-73,Cet Nu-78
Cet Nu-78,Cet Gamma-86
Cet Gamma-86,Cet Delta-82
Cet Delta-82,Mira
Mira,Baten
Baten,Cet 44
Cet 44,Cet Eta-31
Cet Eta-31,Cet Tau-52
Cet Tau-52,Baten
Cet Tau-52,Cet Upsilo-59
Cet Upsilo-59,Cet Pi-89
Cet Eta-31,Diphda
Diphda,Cet Iota-8
Cha Theta,Cha Gamma
Cha Gamma,Cha Beta
Cha Beta,Cha Delta1
Cha Delta1,Cha Theta
Cha Theta,Cha Theta
Cir Gamma,Cir Alpha
Cir Alpha,Cir Delta
Col Epsilon,Phakt
Phakt,Col Beta
Col Beta,Col Gamma
Col Gamma,Col Kappa
Col Kappa,Col Delta
Col Beta,Col Eta
Com Alpha-42,Com Beta-43
Com Beta-43,Com Gamma-15
CrA Epsilon,CrA Gamma
CrA Gamma,CrA Beta
CrA Beta,CrA Delta
CrA Delta,CrA Delta
CrA Delta,CrA Zeta
CrA Zeta,CrA Eta2
CrA Eta2,CrA Eta2
CrB Theta-4,CrB Beta-3
CrB Beta-3,Alphecca
Alphecca,CrB Gamma-8
CrB Gamma-8,CrB Delta-10
CrB Delta-10,CrB Epsilo-13
CrB Epsilo-13,CrB Iota-14
Crv Alpha-1,Crv 3
Crv 3,Crv Gamma-4
Crv Gamma-4,Crv Eta-8
Crv Eta-8,Crv Beta-9
Crv Beta-9,Crv 3
Crt Eta-30,Crt Zeta-27
Crt Zeta-27,Crt Lambda-13
Crt Lambda-13,Crt Delta-12
Crt Delta-12,Crt Kappa-16
Crt Kappa-16,Crt Theta-21
Crt Lambda-13,Crt Beta-11
Crt Beta-11,Crt Alpha-7
Crt Alpha-7,Crt Delta-12
Acrux,Cru Gamma
Cru Iota,Cru Delta
Cyg Kappa-1,Cyg Iota2-10
Cyg Iota2-10,Cyg Theta-13
Cyg Theta-13,Cyg Delta-18
Cyg Delta-18,Cyg Gamma-37
Cyg Gamma-37,Cyg Epsilo-53
Cyg Epsilo-53,Cyg Zeta-64
Cyg Zeta-64,Cyg Mu1-78
Cyg Zeta-64,Cyg Upsilo-66
Cyg Upsilo-66,Cyg Tau-65
Cyg Tau-65,Cyg Sigma-67
Cyg Sigma-67,Cyg Rho-73
Cyg Rho-73,Cyg Pi2-81
Deneb,Cyg Gamma-37
Cyg Gamma-37,Cyg Eta-21
Cyg Eta-21,Cyg Chi
Cyg Chi,Albireo
Del Epsilon-2,Rotanev
Rotanev,Del Delta-11
Del Delta-11,Del Gamma1-12
Del Gamma1-12,Svalocin
Svalocin,Rotanev
Dor Gamma,Dor Alpha
Dor Alpha,Dor Zeta
Dor Zeta,Dor Beta
Dor Beta,Dor Epsilon
Dor Beta,Dor Epsilon
Dra Nu1-24,Alwaid
Alwaid,Rastaban
Rastaban,Dra Xi-32
Dra Xi-32,Dra Nu1-24
Dra Xi-32,Dra Delta-57
Dra Delta-57,Dra Epsilo-63
Dra Epsilo-63,Dra Chi-44
Dra Chi-44,Dra Zeta-22
Dra Zeta-22,Dra Eta-14
Dra Eta-14,Dra Theta-13
Dra Theta-13,Dra Iota-12
Dra Iota-12,Thuban
Thuban,Dra Kappa-5
Dra Kappa-5,Dra Lambda-1
Equ Delta-7,Equ Beta-10
Equ Beta-10,Equ Alpha-8
Equ Alpha-8,Equ Gamma-5
Eri Lambda-69,Cursa
Cursa,Eri Omega-61
Eri Omega-61,Eri Mu-57
Eri Mu-57,Eri Nu-48
Eri Nu-48,Eri Omicr2-40
Eri Omicr2-40,Zaurak
Zaurak,Eri Pi-26
Eri Pi-26,Eri Delta-23
Eri Delta-23,Eri Epsilo-18
Eri Epsilo-18,Eri Eta-3
Eri Eta-3,Eri Tau1-1
Eri Tau1-1,Eri Tau2-2
Eri Tau2-2,Eri Tau3-11
Eri Tau3-11,Eri 15
Eri 15,Eri Tau5-19
Eri Tau5-19,Eri Tau6-27
Eri Tau6-27,Eri Tau9-36
Eri Tau9-36,Eri Upsil2-52
Eri Upsil2-52,Eri Upsil2-52
Eri Upsil2-52,Eri 43
Eri 43,Eri 43
Eri 43,For Chi3
For Chi3,Hor Delta
Hor Delta,Eri Theta2
Eri Theta2,Eri Theta2
Eri Theta2,Eri Iota
Eri Iota,Eri Kappa
Eri Kappa,Eri Kappa
Eri Kappa,Eri Phi
Eri Phi,Eri Chi
Eri Chi,Achernar
For Alpha,For Beta
For Beta,For Nu
Gem Eta-7,Gem Mu-13
Gem Mu-13,MEbsuta
MEbsuta,Gem Tau-46
Gem Tau-46,Gem Rho-62
Gem Rho-62,Castor
Castor,Gem Sigma-75
Gem Sigma-75,Pollux
Pollux,Gem Kappa-77
Gem Kappa-77,Wasat
Wasat,Gem Zeta-43
Gem Zeta-43,Gem Gamma-24
Gem Gamma-24,Gem Nu-18
Gem Nu-18,Gem Mu-13
Gem Gamma-24,Gem 30
Wasat,Gem Lambda-54
Gru Gamma,Gru Lambda
Gru Lambda,Gru Mu1
Gru Mu1,Gru Delta1
Gru Delta1,Gru Beta
Gru Beta,Gru Epsilon
Gru Epsilon,Gru Kappa
Gru Alpha,Gru Beta
Gru Beta,Gru Iota
Gru Iota,Gru Theta
Her Phi-11,Her Sigma-35
Her Sigma-35,Her Eta-44
Her Eta-44,Her Zeta-40
Her Zeta-40,Kornephoros
Kornephoros,Her Gamma-20
Kornephoros,Her Alpha1-64
Her Iota-85,Her Theta-91
Her Theta-91,Her Rho-75
Her Rho-75,Her Pi-67
Her Pi-67,Her Eta-44
Her Pi-67,Her Epsilo-58
Her Epsilo-58,Her Zeta-40
Her Epsilo-58,Her Delta-65
Her Delta-65,Her Lambda-76
Her Lambda-76,Her Mu-86
Her Mu-86,Her Xi-92
Her Xi-92,Her Omicr-103
Her Omicr-103,Her Nu-94
Her Omicr-103,Her 109
Her 109,Her 102
Her 109,Her 110
Her 110,Her 111
Hor Alpha,Hor Eta
Hor Eta,Hor Eta
Hor Eta,Hor Zeta
Hor Zeta,Hor Mu
Hor Mu,Hor Beta
Hya Pi-49,Hya Gamma-46
Hya Gamma-46,Hya Beta
Hya Beta,Hya Xi
Hya Xi,Hya Nu
Hya Nu,Hya Mu-42
Hya Mu-42,Hya Lambda-41
Hya Lambda-41,Hya Upsil2-40
Hya Upsil2-40,Hya Upsil1-39
Hya Upsil1-39,Hya 29
Hya 29,Hya Iota-35
Hya Iota-35,Hya Theta-22
Hya Theta-22,Hya Zeta-16
Hya Zeta-16,Hya Eta-7
Hya Eta-7,Hya Sigma-5
Hya Sigma-5,Hya Delta-4
Hya Delta-4,Hya Epsilo-11
