#
# Andromeda
#
And Delta-31,Alpheratz
And Epsilo-30,And Delta-31
And Zeta-34,And Epsilo-30
And Zeta-34,And Eta-38
And Delta-31,And Pi-29
And Pi-29,And Sigma-25
And Sigma-25,And Iota-17
And Iota-17,And Kappa-19
And Kappa-19,And Lambda-16
And Iota-17,And Omicron-1
Mirach,And Delta-31
Mirach,And Pi-29
And Upsilo-50,Mirach
And Gamma1-57,And Upsilo-50
Mirach,And Mu-37
And Mu-37,And Nu-35
And Nu-35,And Phi-42
And Phi-42,And 51
#
# Antlia
#
#   Diverge from Rey: he does not have Antlia
Ant Iota,Ant Alpha
Ant Alpha,Ant Theta
Ant Theta,Ant Epsilon
#
# Apus
#
Aps Beta,Aps Gamma
Aps Beta,Aps Delta1
Aps Gamma,Aps Delta1
Aps Delta1,Aps Alpha
#
# Aquarius
#
#   Head
Sadalmelik,Aqr Pi-52
Aqr Pi-52,Aqr Eta-62
Aqr Eta-62,Sadachbia
Sadachbia,Sadalmelik
#   Body/Legs
Sadalmelik,Sadalsud
Sadalsud,Aqr Iota-33
Sadalsud,Aqr Nu-13
Aqr Nu-13,Aqr Mu-6
Aqr Mu-6,Aqr Epsilon-2
#   Arms
Sadalmelik,Aqr Theta-43
Aqr Theta-43,Aqr Lambda-73
#   Bucket
Aqr Lambda-73,Aqr Phi-90
Aqr Phi-90,Aqr Psi1-91
Aqr Psi1-91,Aqr Lambda-73
Aqr Lambda-73,Aqr Tau2-71
Aqr Tau2-71,Skat
Skat,Aqr Psi1-91
#   Water
Aqr 101,Aqr 99
Aqr 99,Aqr 98
Aqr 98,Aqr Psi1-91
Aqr Psi1-91,Aqr 88
Aqr 88,Aqr 89
Aqr 89,Aqr 86
#
# Aquila
#
Altair,Aql Beta-60
Tarazed,Altair
Aql Mu-38,Tarazed
Aql Delta-30,Aql Mu-38
Aql Lambda-16,Aql Delta-30
Aql 12,Aql Lambda-16
Aql Theta-65,Aql Eta-55
Aql Eta-55,Aql Delta-30
Aql Zeta-17,Aql Eta-55
Aql Epsilo-13,Aql Zeta-17
#
# Ara
#
Ara Delta,Ara Eta
Ara Zeta,Ara Eta
Ara Epsilon1,Ara Zeta
Ara Alpha,Ara Epsilon1
Ara Theta,Ara Alpha
Ara Delta,Ara Theta
#
# Aries
#
Ari Delta-57,Ari Epsilo-48
Ari Epsilo-48,Ari 41
Ari 41,Ari 35
Ari 35,Hamal
Hamal,Ari Lambda-9
Ari Lambda-9,Sheratan
Hamal,Sheratan
Hamal,Ari Eta-17
Ari Eta-17,Ari Gamma2-5
Ari Eta-17,Ari Epsilo-48
Ari 41,Ari 39
Ari 39,Ari 35
#
# Auriga
#
Aur Delta-33,Menkalinan
Menkalinan,Aur Theta-37
Aur Theta-37,Aur Iota-3
Aur Iota-3,Aur Eta-10
Aur Eta-10,Aur Zeta-8
Aur Zeta-8,Aur Epsilon-7
Aur Epsilon-7,Capella
Aur Eta-10,Capella
Capella,Menkalinan
Capella,Aur Delta-33
#
# Bootes
#
#   Body
Arcturus,Boo Pi2-29
Pulcherrima,Arcturus
Pulcherrima,Boo Pi2-29
#   Legs
Muphrid,Arcturus
Muphrid,Boo Upsilon-5
Boo Upsilon-5,Boo Tau-4
#   Head/Cap
Nekkar,Boo Delta-49
